2020-11-30 00:12:46 startup archives unpack
2020-11-30 00:12:47 install libdb5.3:armhf <none> 5.3.28+dfsg1-0.6ubuntu1
2020-11-30 00:12:47 status triggers-pending libc-bin:arm64 2.30-0ubuntu2.2
2020-11-30 00:12:47 status half-installed libdb5.3:armhf 5.3.28+dfsg1-0.6ubuntu1
2020-11-30 00:12:48 status unpacked libdb5.3:armhf 5.3.28+dfsg1-0.6ubuntu1
2020-11-30 00:12:48 install libreadline8:armhf <none> 8.0-3
2020-11-30 00:12:48 status half-installed libreadline8:armhf 8.0-3
2020-11-30 00:12:48 status unpacked libreadline8:armhf 8.0-3
2020-11-30 00:12:48 install libsqlite3-0:armhf <none> 3.29.0-2ubuntu0.3
2020-11-30 00:12:48 status half-installed libsqlite3-0:armhf 3.29.0-2ubuntu0.3
2020-11-30 00:12:48 status unpacked libsqlite3-0:armhf 3.29.0-2ubuntu0.3
2020-11-30 00:12:49 install libpsl5:armhf <none> 0.20.2-2
2020-11-30 00:12:49 status half-installed libpsl5:armhf 0.20.2-2
2020-11-30 00:12:49 status unpacked libpsl5:armhf 0.20.2-2
2020-11-30 00:12:49 install liba52-0.7.4:armhf <none> 0.7.4-19
2020-11-30 00:12:49 status half-installed liba52-0.7.4:armhf 0.7.4-19
2020-11-30 00:12:49 status unpacked liba52-0.7.4:armhf 0.7.4-19
2020-11-30 00:12:49 install libroken18-heimdal:armhf <none> 7.5.0+dfsg-3build1
2020-11-30 00:12:49 status half-installed libroken18-heimdal:armhf 7.5.0+dfsg-3build1
2020-11-30 00:12:49 status unpacked libroken18-heimdal:armhf 7.5.0+dfsg-3build1
2020-11-30 00:12:50 install libasn1-8-heimdal:armhf <none> 7.5.0+dfsg-3build1
2020-11-30 00:12:50 status half-installed libasn1-8-heimdal:armhf 7.5.0+dfsg-3build1
2020-11-30 00:12:50 status unpacked libasn1-8-heimdal:armhf 7.5.0+dfsg-3build1
2020-11-30 00:12:50 install libheimbase1-heimdal:armhf <none> 7.5.0+dfsg-3build1
2020-11-30 00:12:50 status half-installed libheimbase1-heimdal:armhf 7.5.0+dfsg-3build1
2020-11-30 00:12:50 status unpacked libheimbase1-heimdal:armhf 7.5.0+dfsg-3build1
2020-11-30 00:12:50 install libhcrypto4-heimdal:armhf <none> 7.5.0+dfsg-3build1
2020-11-30 00:12:50 status half-installed libhcrypto4-heimdal:armhf 7.5.0+dfsg-3build1
2020-11-30 00:12:50 status unpacked libhcrypto4-heimdal:armhf 7.5.0+dfsg-3build1
2020-11-30 00:12:50 install libwind0-heimdal:armhf <none> 7.5.0+dfsg-3build1
2020-11-30 00:12:50 status half-installed libwind0-heimdal:armhf 7.5.0+dfsg-3build1
2020-11-30 00:12:50 status unpacked libwind0-heimdal:armhf 7.5.0+dfsg-3build1
2020-11-30 00:12:50 install libhx509-5-heimdal:armhf <none> 7.5.0+dfsg-3build1
2020-11-30 00:12:50 status half-installed libhx509-5-heimdal:armhf 7.5.0+dfsg-3build1
2020-11-30 00:12:51 status unpacked libhx509-5-heimdal:armhf 7.5.0+dfsg-3build1
2020-11-30 00:12:51 install libkrb5-26-heimdal:armhf <none> 7.5.0+dfsg-3build1
2020-11-30 00:12:51 status half-installed libkrb5-26-heimdal:armhf 7.5.0+dfsg-3build1
2020-11-30 00:12:51 status unpacked libkrb5-26-heimdal:armhf 7.5.0+dfsg-3build1
2020-11-30 00:12:51 install libheimntlm0-heimdal:armhf <none> 7.5.0+dfsg-3build1
2020-11-30 00:12:51 status half-installed libheimntlm0-heimdal:armhf 7.5.0+dfsg-3build1
2020-11-30 00:12:51 status unpacked libheimntlm0-heimdal:armhf 7.5.0+dfsg-3build1
2020-11-30 00:12:51 install libgssapi3-heimdal:armhf <none> 7.5.0+dfsg-3build1
2020-11-30 00:12:51 status half-installed libgssapi3-heimdal:armhf 7.5.0+dfsg-3build1
2020-11-30 00:12:51 status unpacked libgssapi3-heimdal:armhf 7.5.0+dfsg-3build1
2020-11-30 00:12:51 install libsasl2-modules-db:armhf <none> 2.1.27+dfsg-1ubuntu0.1
2020-11-30 00:12:51 status half-installed libsasl2-modules-db:armhf 2.1.27+dfsg-1ubuntu0.1
2020-11-30 00:12:51 status unpacked libsasl2-modules-db:armhf 2.1.27+dfsg-1ubuntu0.1
2020-11-30 00:12:52 install libsasl2-2:armhf <none> 2.1.27+dfsg-1ubuntu0.1
2020-11-30 00:12:52 status half-installed libsasl2-2:armhf 2.1.27+dfsg-1ubuntu0.1
2020-11-30 00:12:52 status unpacked libsasl2-2:armhf 2.1.27+dfsg-1ubuntu0.1
2020-11-30 00:12:52 install libldap-2.4-2:armhf <none> 2.4.48+dfsg-1ubuntu1.2
2020-11-30 00:12:52 status half-installed libldap-2.4-2:armhf 2.4.48+dfsg-1ubuntu1.2
2020-11-30 00:12:52 status unpacked libldap-2.4-2:armhf 2.4.48+dfsg-1ubuntu1.2
2020-11-30 00:12:52 install libnghttp2-14:armhf <none> 1.39.2-1
2020-11-30 00:12:52 status half-installed libnghttp2-14:armhf 1.39.2-1
2020-11-30 00:12:52 status unpacked libnghttp2-14:armhf 1.39.2-1
2020-11-30 00:12:52 install librtmp1:armhf <none> 2.4+20151223.gitfa8646d.1-2
2020-11-30 00:12:52 status half-installed librtmp1:armhf 2.4+20151223.gitfa8646d.1-2
2020-11-30 00:12:52 status unpacked librtmp1:armhf 2.4+20151223.gitfa8646d.1-2
2020-11-30 00:12:52 install libssh-4:armhf <none> 0.9.0-1ubuntu1.4
2020-11-30 00:12:52 status half-installed libssh-4:armhf 0.9.0-1ubuntu1.4
2020-11-30 00:12:53 status unpacked libssh-4:armhf 0.9.0-1ubuntu1.4
2020-11-30 00:12:53 install libcurl4:armhf <none> 7.65.3-1ubuntu3.1
2020-11-30 00:12:53 status half-installed libcurl4:armhf 7.65.3-1ubuntu3.1
2020-11-30 00:12:53 status unpacked libcurl4:armhf 7.65.3-1ubuntu3.1
2020-11-30 00:12:53 install libfaad2:armhf <none> 2.8.8-3.2
2020-11-30 00:12:53 status half-installed libfaad2:armhf 2.8.8-3.2
